French,English
partie,part
chercher,search
police,police
pensais,thought
demande,request
genre,kind
mois,month
frère,brother
mettre,to put
aucun,no
laisse,leash
chaque,each
devrait,should
bébé,baby
longtemps,long time
vont,will
revoir,meet again
aucune,any
parle,speak
compris,understood
savais,knew
étaient,were
voici,here is
pourrais,could
affaire,case
donner,give
type,type
leurs,their
donné,given
train,train
endroit,place
façon,way
écoute,listen
dont,whose
trouve,find
premier,first
première,first
côté,side
pouvoir,power
vieux,old
sois,be
tiens,here
matin,morning
enfant,child
point,point
venu,came
suite,after
pardon,sorry
devant,in front of
vers,towards
minutes,minutes
demandé,request
chambre,bedroom
mis,placed
belle,beautiful
droit,law
aimerais,would like to
aujourd'hui,today
mari,husband
enfin,finally
espère,hope
eau,water
attendez,Wait
nouvelle,new
boulot,job
arrêter,Stop
dirait,would say
donne,given
loin,far
fin,end
croire,believe
chérie,sweetheart
gros,large
aura,will have
filles,girls
bureau,office
